C:4-H:5-N:1-X:1	C:O:S	1540:6797:2030	1976:1763:1849
C:4-H:5-N:1-X:2	O:H	2198:4268	1877:1795
C:1-H:1-I:2-X:1	I:H	874:6939	1951:1729
C:4-H:5-N:1-X:3	C:O	1941:8192	1992:1969
H:2-Pt:1-X:6	Cl:I:Br	427:1894:1718	1995:1734:1995
C:4-H:6-N:6-Pt:1-X:1	Co:Ni	4163:4166	1747:1937
C:4-H:6-N:6-Pt:1-X:2	H:Ag	4173:4174	1834:1799
O:13-Te:4-X:2	Li:Na	2100:2132	1829:1814
C:7-H:4-Na:1-O:3-X:1	H:Na	5729:5730	1952:1908
C:12-H:12-N:1-X:1	H:N	6428:4073	1939:1765
H:13-N:6-O:7-Pt:1-X:1	Cl:Br	2624:9941	1996:1943
As:1-Ca:1-O:4-X:1	As:H	2500:7475	1823:1979
Hg:1-O:3-S:1-X:1	S:Se:O:Hg	711:9442:261:3491	1837:1925:1760:1837
Li:1-O:4-S:1-X:1	Li:Na:K	575:10434:9845	1865:1740:1831
C:1-H:1-S:1-X:1	N:O	319:2876	1708:1713
C:2-H:8-N:2-X:4	C:O	8142:1739	1945:1878
C:11-H:8-O:2-X:2	C:H	7383:10815	1914:1712
Cl:2-H:12-N:6-O:6-X:1	Pt:Ir	2622:5622	1736:1939
C:11-H:8-O:2-X:3	C:O	2284:8420	1800:1882
Cl:4-H:6-Mo:3-O:3-X:2	I:Br:Cl	7213:7184:7218	1774:1948:1770
C:2-H:12-N:2-S:1-X:4	O:C	5110:5353	1928:1926
C:11-H:13-N:1-O:1-X:2	C:O	6730:5954	1736:1775
C:16-H:26-O:4-X:2	C:H	8430:8036	1882:1859
C:3-H:3-N:4-S:2-X:1	H:Ag	4096:4213	1730:1736
C:8-H:9-N:1-X:2	C:H:O	3425:2451:7717	1801:1872:1893
C:9-H:21-Cu:1-N:3-O:3-S:3-X:1	Cl:I	5488:5489	1931:1752
C:9-H:10-O:4-S:1-X:1	C:O	3863:6748	1822:1956
C:7-H:14-O:2-X:1	C:O	9210:7583	1778:1763
C:7-H:14-O:2-X:2	H:O	9152:5890	1937:1798
C:9-H:8-N:1-O:5-X:1	H:N	4041:5139	1704:1771
C:16-H:11-N:2-O:2-S:2-X:1	H:Cl	3111:10752	1700:1795
Be:1-X:1	Se:Te:O:S	1430:1469:1384:1417	1942:1793:1946:1701
Be:1-X:2	F:I:Br:Cl	6852:1451:1516:1267	1733:1830:1870:1850
C:8-H:11-N:1-O:2-X:6	H:C	8412:7289	1754:1892
C:4-H:10-Cu:1-O:4-X:2	C:N	5994:8350	1841:1819
As:1-I:2-X:1	As:I	4812:1526	1903:1760
C:1-Cl:3-O:2-S:1-X:1	H:Cl	4025:3902	1807:1886
C:9-H:10-Br:1-X:1	H:Br	10105:11194	1828:1962
C:13-H:11-O:1-X:1	H:N	1862:3903	1760:1763
C:6-H:14-Fe:1-N:6-O:7-X:2	Zn:Cu	4565:4618	1782:1945
C:7-H:10-O:5-X:2	O:C	5262:9247	1891:1870
C:20-H:20-O:3-X:2	O:H	6223:5719	1979:1867
C:8-H:12-O:8-X:1	Pb:Si:Th	2946:11355:1630	1735:1763:1976
Cl:1-K:1-O:3-X:1	Cr:O:S	1970:1735:2331	1797:1976:1749
Bi:1-S:4-X:1	Sb:As	3046:1192	1946:1765
C:7-H:5-N:3-O:4-X:2	H:O	8854:4877	1750:1797
C:8-H:6-N:2-O:4-X:2	H:C	9624:3888	1990:1881
C:6-H:11-Cl:1-X:2	O:H	4924:8808	1902:1823
H:36-Mo:8-O:43-X:1	Ba:Ca	10413:10412	1975:1759
C:1-N:1-Se:1-X:1	K:Ag:Na:H	5111:5330:5331:5068	1786:1712:1737:1757
C:24-H:20-O:1-X:4	N:C	8124:10674	1760:1905
C:4-H:10-S:1-X:1	O:S	9196:2039	1776:1770
C:4-H:10-S:1-X:2	C:O	3838:9203	1726:1823
As:1-S:1-X:1	Co:Fe	2319:2343	1885:1829
C:4-H:10-S:1-X:4	C:O	9609:4467	1761:1780
C:10-H:9-O:4-S:1-X:1	H:N	3863:6425	1822:1973
C:1-N:2-O:4-X:2	Br:Cl	10567:3085	1751:1818
C:14-H:8-N:2-O:5-X:2	O:H	5720:9233	1966:1857
C:2-H:1-O:2-X:3	Br:Cl:H	9212:2853:299	1772:1778:1945
C:4-H:8-N:4-O:4-Pd:1-X:1	Ca:Mg:Ba	9895:9859:9898	1935:1887:1856
C:3-H:4-N:4-O:3-X:2	H:C	4423:626	1935:1706
C:3-H:5-N:1-O:1-X:2	O:Cl:H:N	2273:9208:4627:7716	1975:1713:1837:1976
C:3-H:5-N:1-O:1-X:4	C:N	2022:2183	1717:1764
C:7-H:5-O:3-X:1	Cl:Na:I:N:Br:Ag:H	3853:5729:8057:5326:3856:8473:2850	1815:1952:1994:1793:1995:1719:1776
C:6-H:8-O:5-X:2	C:O:H	5156:46:4016	1875:1979:1994
C:6-H:8-O:5-X:4	H:C	5295:7287	1916:1760
C:4-Cl:3-O:2-X:5	Cl:H	2807:2806	1976:1959
C:7-H:14-N:2-X:3	O:C	4224:3449	1812:1767
C:5-H:9-X:1	H:N	8380:4219	1727:1885
C:3-H:5-O:1-S:2-X:1	Cu:Na:H:K	2287:4897:2263:857	1851:1787:1727:1964
C:4-H:2-N:4-O:1-Pd:1-X:2	Na:K	9906:2534	1794:1880
As:1-H:2-X:1	As:H	1714:128	1847:1832
C:13-H:11-N:1-X:1	O:C	3903:2465	1763:1999
C:6-Cl:4-X:2	Cl:O:H	9237:3135:10282	1980:1921:1914
C:20-H:20-N:3-X:1	Cl:H	8517:8433	1781:1723
C:4-H:6-N:4-O:3-Pd:1-X:2	Na:K	9899:849	1714:1802
C:7-H:12-N:2-O:1-X:2	O:N	420:10273	1717:1909
Li:1-O:4-P:1-X:2	Li:H	4731:4733	1729:1765
O:20-V:2-X:5	S:W	1806:1808	1814:1931
C:4-H:5-Br:2-N:1-X:2	C:O	4036:9590	1820:1752
C:3-H:4-Br:1-Cl:2-X:1	Br:H	8004:6692	1983:1930
C:10-H:8-O:1-X:4	H:O	3153:7287	1721:1760
C:1-H:2-O:3-S:1-X:2	Cl:H	4024:3913	1992:1911
C:9-H:20-O:2-X:1	C:O	2921:7960	1779:1937
C:3-H:3-Br:1-N:2-O:2-X:2	H:Br	9215:9223	1750:1810
C:9-H:20-O:2-X:2	C:O	4020:9207	1832:1893
H:8-O:13-Te:4-X:2	K:Na	2090:2139	1869:1715
H:18-I:2-N:6-X:1	Ni:Ca	2737:10975	1731:1959
C:4-H:10-X:1	C:Cd:Hg:O:S:Se:Sn:Te:Zn	8380:6471:2285:1505:1916:6365:5540:2905:4898	1727:1757:1988:1762:1769:1857:1756:1930:1708
C:4-H:10-X:2	C:Se:N:O:S	4709:5587:5574:6366:2039	1711:1788:1783:1806:1770
C:11-H:16-O:3-X:6	H:C	5707:5718	1952:1757
C:1-H:1-Cl:1-O:3-S:1-X:2	Cl:H	4026:4023	1905:1748
C:4-H:10-X:4	C:O	6709:4626	1992:1751
F:6-H:4-Li:2-O:2-X:1	Si:Sn	9134:7225	1879:1745
C:8-H:10-N:1-O:1-X:1	N:H	8842:8153	1890:1708
H:1-K:1-O:4-X:2	As:C	4544:325	1741:1736
C:8-H:19-Br:2-X:1	N:P:As	7342:7655:7657	1888:1939:1974
C:10-H:10-O:3-X:1	O:C	4746:5714	1730:1826
C:10-H:10-O:3-X:2	O:H	3110:4038	1792:1780
C:11-H:12-O:6-X:1	C:O	6989:5526	1723:1700
C:10-H:10-O:3-X:4	C:H	1943:2585	1895:1905
H:8-N:2-O:2-S:1-X:4	C:O	9583:9358	1963:1864
Cr:1-H:2-O:3-X:1	H:O	1298:353	1788:1950
C:5-H:10-Cl:1-X:1	Cl:H	6963:3837	1837:1975
C:3-H:1-Br:3-O:1-X:2	O:Br	10566:4413	1727:1927
C:14-H:10-O:1-X:2	N:Cl:O:Br:H	6177:8052:1943:8835:1847	1965:1973:1895:1765:1795
C:9-H:6-X:6	H:O	2981:10616	1975:1924
H:12-N:4-O:4-S:1-X:1	Cu:Pd:Pt	10270:3333:2897	1886:1861:1923
C:3-H:8-S:2-X:1	O:C:S	8382:8185:8383	1725:1908:1844
C:10-H:8-X:1	O:S	2188:8955	1753:1861
C:10-H:8-X:4	O:Cl	2722:2009	1819:1943
N:1-Zn:1-X:1	B:C	3335:4373	1954:1996
H:1-I:1-O:1-X:2	O:I	475:8237	1839:1714
O:2-Sr:1-X:2	Cl:H	2086:245	1768:1976
Ba:2-O:7-X:2	P:As	549:10854	1814:1777
O:9-S:2-X:2	Cr:N:Sb	3018:2728:4351	1979:1889:1769
C:1-H:1-O:1-X:1	Ca:Mg:H:Zn:B:N:S:Br	720:5170:2591:5386:9763:1508:2876:9234	1929:1841:1902:1774:1762:1859:1713:1965
C:1-H:1-O:1-X:2	Fe:Cu:O	8316:3781:993	1839:1942:1751
H:1-N:1-O:6-S:2-X:2	H:K	4069:3906	1995:1713
Cl:2-H:4-O:2-X:1	Co:Ni:Fe:Cd:Ca:Ba:Cu:Pd:Sr	10438:9024:3715:5791:7405:9380:377:3189:8972	1992:1753:1996:1860:1930:1746:1754:1920:1822
Ag:1-O:4-X:1	Mn:Cl:I:Br	1857:1828:1981:8595	1718:1749:1979:1747
C:6-H:17-N:3-O:3-X:4	H:O	2286:8589	1965:1906
C:14-H:8-O:4-X:2	H:N	5711:8970	1735:1796
C:14-H:12-N:2-O:2-X:1	Hg:Cu	5558:2865	1962:1975
C:14-H:12-N:2-O:2-X:2	C:O	1381:4888	1850:1919
C:3-H:3-N:4-O:2-X:1	H:Ag	2052:4385	1727:1727
C:6-H:5-O:2-X:1	Cl:N:H	3896:2180:3139	1915:1794:1905
C:5-H:8-O:4-X:1	C:O	2031:5261	1730:1737
C:5-H:8-O:4-X:2	O:H	2414:5889	1788:1810
Br:4-H:6-Mo:3-O:3-X:2	Br:Cl	7217:7194	1730:1889
C:5-H:8-O:4-X:3	C:O	4651:11090	1943:1849
C:6-H:5-O:2-X:5	O:H	3089:3697	1781:1942
Ba:1-X:1	Se:O:S	2073:267:279	1893:1840:1916
Ba:1-X:2	Cl:F:I:Br:O	72:885:452:1240:252	1924:1731:1832:1872:1994
C:6-Br:3-O:2-X:1	H:Br	5946:5932	1824:1766
C:7-H:9-N:4-O:1-X:3	H:Cl	10273:2294	1909:1962
As:2-Cl:2-O:8-X:4	Ba:Mg	10468:10437	1895:1725
H:4-O:1-X:1	N:C	9367:2201	1903:1715
Pt:1-S:1-X:1	S:O	153:140	1871:1819
C:6-H:15-I:2-X:1	Sb:As	5115:5903	1965:1702
H:2-Hg:1-O:6-X:2	S:Se	6055:659	1701:1809
C:12-H:10-O:14-X:3	Co:Pb:Hg:Ni	3587:3681:2398:3501	1997:1820:1783:1781
H:4-P:1-X:1	I:P:Br	582:1858:577	1787:1899:1715
C:12-H:8-S:2-X:2	H:Cl	8172:10283	1875:1700
B:2-O:4-X:1	Mg:Pb	1968:10361	1908:1758
C:20-H:27-N:1-O:8-X:3	C:O	5728:4718	1928:1890
C:4-H:10-O:1-X:1	C:O:S:Sn:Te	2868:6366:9196:5748:5275	1887:1806:1776:1811:1784
C:4-H:10-O:1-X:2	N:C:O	5278:6400:8569	1832:1974:1733
C:5-H:12-O:4-X:1	C:S	8574:6193	1819:1902
H:4-O:4-P:1-Zn:1-X:1	N:P	4490:1502	1955:1839
As:1-O:1-X:1	Cl:Br	6875:7204	1789:1852
C:1-H:1-N:1-X:1	O:S:Se	1508:319:5068	1859:1708:1757
C:5-H:12-O:4-X:2	S:C	11121:6979	1706:1788
C:6-H:15-S:1-X:1	Bi:P:Sb:As:I	5860:6700:5120:5910:9305	1954:1868:1857:1877:1973
C:4-H:4-O:6-X:1	Hg:Co:Pb:Sr:Cd:Ba:Fe:Ca:Cu:Mg	1803:880:2295:3436:6562:1360:1948:179:3819:3431	1890:1866:1980:1818:1734:1749:1889:1776:1880:1795
C:2-H:1-Br:1-X:2	H:Br	2210:8392	1730:1770
C:4-H:4-O:6-X:2	H:Ag:K:Na:C:Tl:Hg:Li	65:3151:71:176:8204:8245:2367:1850	1967:1815:1854:1916:1810:1792:1873:1888
C:2-H:1-Br:1-X:4	H:Br	4936:8393	1744:1760
H:1-O:1-Sb:1-X:1	Co:K	5447:401	1737:1891
C:6-H:7-N:1-O:3-X:1	S:C	2300:4858	1785:1833
C:7-H:6-N:2-O:3-S:1-X:3	O:C	9312:2569	1942:1991
C:6-H:4-Cl:1-O:2-S:1-X:1	Cl:H:Br	10780:3150:11184	1797:1896:1959
C:6-H:7-N:1-O:3-X:2	N:C:H	9281:3101:10724	1837:1955:1824
C:8-H:12-K:2-O:14-X:1	Ba:Sr	1910:1905	1909:1794
C:10-H:11-N:1-O:3-X:1	C:O	5291:7360	1752:1857
C:10-H:11-N:1-O:3-X:2	O:H	6224:8079	1835:1861
C:6-H:7-N:1-O:3-X:4	C:H	8050:5059	1753:1769
Mn:1-O:1-X:1	O:H	601:5608	1829:1980
C:6-H:5-N:2-X:1	Cl:N:Br	10166:8176:8520	1803:1750:1791
C:6-H:5-N:2-X:3	H:Br	8142:10181	1945:1784
C:3-H:1-Cl:1-O:1-X:4	Cl:H	5915:6492	1931:1863
H:16-N:2-Na:1-O:8-X:1	As:P	7167:7171	1713:1856
C:3-O:11-U:1-X:4	Na:K	3190:966	1736:1844
C:6-H:3-X:3	Cl:I:Br:H	2852:10070:2270:1079	1970:1899:1989:1906
C:12-H:9-N:1-O:4-X:2	N:C	9252:9270	1958:1929
H:18-N:3-O:7-X:1	P:As	554:7183	1978:1713
C:4-H:6-Cr:1-N:6-S:4-X:1	K:Cu	8776:8772	1994:1905
H:4-N:1-X:1	F:I:O:Br:Cl	1011:580:9367:1092:31	1722:1864:1903:1817:1897
C:20-H:22-N:1-O:4-X:1	Br:Cl	6256:6257	1976:1989
Co:2-O:4-X:1	Sn:Co	7901:108	1779:1729
C:8-H:7-Na:1-O:2-X:1	C:O	10180:11310	1988:1916
C:2-H:6-X:1	C:Hg:Se:Te:Zn:O:S	5030:7029:4418:6168:5723:345:2190	1861:1981:1930:1770:1764:1834:1702
C:2-H:6-X:2	N:O:S:C:Se	6802:6796:4419:1745:6364	1753:1982:1859:1760:1788
C:7-H:14-X:1	C:O	10122:3824	1711:1817
C:7-H:14-X:2	H:Cl:O	6169:6652:3084	1817:1715:1948
C:7-H:14-X:3	C:O	2555:7583	1786:1763
Cs:3-O:4-X:1	Sb:As	4511:4513	1886:1771
C:2-H:6-X:6	C:O	11325:2692	1987:1782
N:2-O:1-X:1	O:Hg	8202:5182	1942:1869
Cl:6-H:8-N:2-X:1	Os:Pt:Ir	4528:368:110	1853:1917:1930
H:28-K:2-Na:4-O:26-X:3	W:Mo	2381:10453	1806:1890
N:2-O:1-X:4	O:Hg	1389:3008	1767:1818
C:11-H:10-X:3	O:C	5714:2267	1826:1726
K:1-S:2-X:1	Sb:K:As	9844:820:1058	1769:1987:1920
Cu:3-H:4-O:8-X:1	Cr:S	7905:7432	1828:1931
Ag:1-H:6-N:2-O:3-X:1	Cl:N:Br	3571:1357:3026	1786:1744:1980
C:4-H:10-N:1-X:1	H:N	5129:5574	1881:1783
Cr:1-K:2-O:7-X:1	Cr:S	736:3551	1950:1782
C:6-H:5-N:1-S:1-X:6	O:H	10635:4853	1995:1724
C:5-H:3-Cl:1-N:2-X:2	H:O	2200:2206	1992:1814
C:22-H:41-O:2-X:1	Br:H	10545:9549	1975:1737
Bi:1-O:4-X:1	Bi:N:P:As	3922:6276:3705:10822	1979:1725:1707:1731
C:4-H:8-O:3-X:2	O:N:H	9548:1376:8569	1884:1787:1733
C:5-H:5-O:1-X:5	H:N	2868:4252	1887:1905
C:12-H:18-X:6	O:C	2925:10609	1966:1996
Al:2-H:48-O:40-S:4-X:2	Rb:Cs:K:Na	7824:7895:3314:565	1852:1981:1938:1738
C:8-H:13-N:1-O:3-X:2	H:C	8046:8079	1843:1861
O:2-Pb:3-X:2	Cl:O	3522:2312	1761:1788
C:6-Cl:1-O:2-X:3	H:Cl	4871:3135	1708:1921
Co:1-K:2-N:6-O:12-X:1	Ba:Ca:K	9776:9887:5190	1850:1855:1754
H:25-Na:2-O:16-X:1	As:P	801:1649	1823:1893
C:16-H:20-X:10	C:H	4435:10524	1792:1818
C:12-H:15-O:3-X:1	N:H	724:2824	1715:1906
C:8-H:9-Na:1-O:4-S:1-X:1	O:C	5734:5732	1865:1873
Cl:1-Cr:1-H:14-N:4-O:1-X:2	Br:I:Cl	9510:9514:9523	1743:1857:1782
C:6-H:14-O:7-X:1	Pb:Cu	6451:6452	1884:1753
C:9-H:12-O:2-X:1	C:S	3091:10661	1897:1925
C:3-H:8-O:5-S:1-X:1	C:O	6392:2420	1810:1941
C:9-H:12-O:2-X:2	C:N	2931:4885	1898:1814
As:2-K:1-O:4-X:1	H:K	4544:4602	1741:1826
C:9-H:12-O:2-X:4	C:N	11167:11226	1938:1846
C:8-H:8-N:2-O:5-X:1	C:O	5139:6993	1771:1937
C:4-H:2-Br:1-N:2-O:3-X:1	Br:H	8605:8593	1749:1808
C:22-H:40-Br:2-O:2-X:2	H:Br	9550:10580	1758:1980
C:10-H:16-O:8-X:2	C:H	8853:2417	1701:1965
H:2-O:6-S:1-X:2	S:Se	1939:6142	1980:1840
C:9-H:9-O:1-X:1	H:N	4863:8155	1917:1884
C:6-H:15-P:1-X:1	S:Se:O	6700:6657:6699	1868:1986:1945
C:4-H:12-Cu:1-N:2-O:6-X:4	O:H	2502:286	1711:1894
C:6-H:10-N:2-O:3-X:1	C:S	10204:6259	1734:1878
C:4-H:1-O:3-X:1	Br:H	7713:2037	1738:1814
C:7-H:6-Cl:1-X:1	Cl:H	4463:4454	1760:1783
C:6-H:15-P:1-X:4	S:O	7255:4849	1720:1707
H:6-N:4-Pd:1-X:6	H:O	5584:1366	1940:1866
C:6-H:6-N:1-O:2-X:1	H:N	7720:4246	1969:1853
K:4-O:5-X:2	As:B	4364:8217	1780:1859
C:14-H:14-X:1	O:S	5931:9601	1953:1722
C:3-H:7-N:1-O:2-X:1	O:C	9547:6703	1876:1718
C:14-H:14-X:2	N:O:S	9328:8424:4464	1709:1862:1770
Nb:1-O:1-X:3	Cl:Br	8977:6858	1936:1950
C:3-H:7-N:1-O:2-X:2	N:C	8025:5579	1825:1874
C:14-H:14-X:4	N:O	4672:6819	1880:1735
C:8-H:8-O:6-X:1	O:S	8182:6742	1972:1796
C:9-H:5-O:4-X:1	N:H	3249:5775	1946:1864
C:2-H:3-K:1-O:1-X:2	S:H	4441:2277	1910:1918
C:5-H:5-N:1-X:2	O:C	5288:1941	1776:1992
H:6-N:1-O:4-S:1-X:1	N:Cu	3984:10497	1797:1823
Co:1-H:18-N:6-X:3	Cl:I	5800:5442	1746:1726
C:8-H:8-Ca:1-O:12-X:2	K:Na	63:1068	1856:1807
C:2-H:5-Cl:1-O:3-X:1	S:O	8401:3073	1775:1915
C:8-H:8-O:6-X:6	H:N	8801:728	1926:1947
C:2-Br:4-X:2	H:Br	8190:8360	1718:1809
C:4-H:3-N:3-O:1-X:4	O:H	4022:4259	1963:1898
C:2-H:4-N:5-O:3-X:1	Ag:H	6935:6981	1754:1906
Al:2-H:48-O:40-Se:4-X:2	Na:K	7527:7208	1809:1897
C:3-Cl:4-O:1-X:2	H:Cl	4421:7256	1911:1947
C:1-Cl:3-X:1	Cl:H	1542:1824	1985:1746
Cl:6-X:1	W:Ir:Mo:Pt	996:501:7125:7054	1807:1740:1996:1816
C:9-H:12-N:2-X:2	H:N:O	8442:5884:4885	1851:1761:1814
Cl:6-X:2	C:I:Al	805:2774:5784	1881:1916:1739
C:9-H:12-N:2-X:3	C:O	4073:10672	1765:1910
C:9-H:12-N:2-X:4	C:O	7070:2153	1733:1968
C:12-H:8-O:2-X:2	H:C	10593:2284	1996:1800
C:9-H:9-N:1-X:1	C:O:S	3425:8155:10119	1801:1884:1906
C:3-H:8-O:2-X:1	C:O:S	2842:2450:8381	1831:1772:1703
C:7-H:5-S:2-X:1	Cl:H	11146:1923	1752:1826
C:6-H:15-O:1-X:1	As:Sb:P	5909:5094:6699	1720:1859:1945
C:9-H:9-N:1-X:4	O:H	2156:4645	1792:1831
Cr:3-O:10-X:2	K:Tl	8221:8684	1934:1925
C:9-H:9-N:1-X:6	O:H	6997:6698	1754:1908
C:6-H:3-Cl:2-X:1	Cl:H	2852:2768	1970:1960
C:9-H:10-X:2	Br:H:N:O	11194:2981:5941:1512	1962:1975:1957:1964
C:9-H:10-X:3	C:O	4747:4037	1787:1852
H:8-O:10-S:2-X:1	Ba:Sr:Ca:Pb	1182:1180:721:1220	1989:1959:1751:1772
C:9-H:10-X:5	O:C	9247:2267	1870:1726
H:12-Ni:1-O:10-X:1	S:Se	4186:7516	1827:1905
C:6-H:11-O:4-X:1	H:N	8574:5691	1819:1742
H:1-Na:1-X:1	O:S:C	50:22:9786	1731:1701:1926
H:1-Na:1-X:2	F:C	905:9767	1935:1921
C:8-H:20-Sb:1-X:1	I:Cl	6453:7873	1904:1743
C:13-H:14-O:3-X:6	H:C	9718:8055	1925:1809
C:1-H:4-Se:1-X:2	N:O	5163:6399	1728:1756
