E1,E2,Similarity
F,He,0.00033435189014751406
Ne,He,0.01321844648670042
Na,He,0.0011597896351177998
Mg,He,0.002117592822763498
Al,He,0.0015720905864538052
Si,He,0.0006360647520816077
P,He,0.00044393506984885127
S,He,0.00044851491575433755
Cl,He,0.000417930209744376
Ar,He,0.009004369179563506
K,He,0.001181275440082927
Ca,He,0.002775247470853297
Sc,He,0.003309711816204401
Ti,He,0.001474923598606479
V,He,0.0015040236050268933
Cr,He,0.0015419587122909367
Mn,He,0.0009416529420271227
Fe,He,0.0011772337233144981
Co,He,0.0010618980210438723
Ni,He,0.0009962774707362343
Cu,He,0.0010709931079293177
Zn,He,0.0010625905917786432
Ga,He,0.0016756668826073274
Ge,He,0.0014016730037120153
As,He,0.0005607945717189573
Se,He,0.0010259655275962117
Br,He,0.00046279545341734165
Kr,He,0.006848427837938319
Rb,He,0.0014600429704107474
Sr,He,0.0028029543664476993
Y,He,0.0017451915203474451
Zr,He,0.0013375612705676825
Nb,He,0.0016454536323539603
Mo,He,0.0011327861510496645
Tc,He,0.0010291712440642546
Ru,He,0.0005605459194274022
Rh,He,0.000884375578498656
Pd,He,0.0009055165451219826
Ag,He,0.0016463621489434918
Cd,He,0.0010726176393773604
In,He,0.001996489692435153
Sn,He,0.0007746491112043497
Sb,He,0.0008977490218725546
Te,He,0.0015160902635769566
I,He,0.0007289199289246373
Xe,He,0.005769715022522439
Cs,He,0.001480132313165237
Ba,He,0.0021689470702819886
La,He,0.0022000709934022326
Ce,He,0.0015113266329286057
Pr,He,0.0013279702644292922
Nd,He,0.0011200918553806462
Pm,He,0.00046079710368004
Sm,He,0.0014423006715102132
Eu,He,0.0017068303632467674
Gd,He,0.0015339099791917847
Tb,He,0.000858500103941585
Dy,He,0.0011716206306162727
Ho,He,0.0013879216821969542
Er,He,0.0011811653437459487
Tm,He,0.0014602228318200247
Yb,He,0.0013484557388667201
Lu,He,0.001009720294226089
Hf,He,0.0014222317093049123
Ta,He,0.001297364906838618
W,He,0.0009764408418612727
Re,He,0.0008988779006206418
Os,He,0.0013486763255953908
Ir,He,0.0007289618665366322
Pt,He,0.0010449621755706216
Au,He,0.0017484982449318975
Hg,He,0.0016842909975704607
Tl,He,0.0012472225269177604
Pb,He,0.0012295174835516575
Bi,He,0.0009253200642727958
Po,He,0.003391186084805682
At,He,0.0011025157295697513
Rn,He,0.0015789397142997154
Fr,He,0.002178127205376183
Ra,He,0.0031822380881587962
Ac,He,0.0018340228262690983
Th,He,0.0018406572533060763
Pa,He,0.0021515312482165557
U,He,0.001006856703311568
Np,He,0.0011130740337197509
Pu,He,0.0010920601829693172
Am,He,0.0010442424917469022
Cm,He,0.0008844171379452873
Bk,He,0.0006258588226094332
Cf,He,0.0006512306349238824
Es,He,0.0011556655367748214
Fm,He,0.00215414709264552
Md,He,0.0016661645788259981
No,He,0.002237349226794785
Lr,He,0.00248437429065544
H,Li,0.010581137287485096
He,Li,0.0013820894790287062
Li,Li,0.0
Be,Li,0.0017399419581537118
B,Li,0.016158897765725787
C,Li,0.004724218837849257
N,Li,0.009804123341649982
O,Li,0.005090243161574002
F,Li,0.009100441945194954
Ne,Li,0.0018287344894190986
Na,Li,0.031792734458233565
Mg,Li,0.0036715486139355996
Al,Li,0.008736759338139171
Si,Li,0.0033665424937555175
P,Li,0.015205620175494995
S,Li,0.005533531281538536
Cl,Li,0.013328159040299955
Ar,Li,0.002603507437644447
K,Li,0.03093422580512613
Ca,Li,0.0038752474867609437
Sc,Li,0.0026165098272416492
Ti,Li,0.003250248676854848
V,Li,0.004638717745413887
Cr,Li,0.0033986346199724525
Mn,Li,0.00546534673354924
Fe,Li,0.00443313835340718
Co,Li,0.0056999394036322945
Ni,Li,0.0027812559951294036
Cu,Li,0.007560292639630114
Zn,Li,0.002730118620709186
Ga,Li,0.005226383627859371
Ge,Li,0.002624042021437777
As,Li,0.012032499031802944
Se,Li,0.004732849933169654
Br,Li,0.016755489421748426
Kr,Li,0.0019879751987943502
Rb,Li,0.017121293953742244
Sr,Li,0.002886488418847333
Y,Li,0.002404278216177943
Zr,Li,0.0025361461723795243
Nb,Li,0.0036701760631652892
Mo,Li,0.0023310118123717975
Tc,Li,0.0010780420747185352
Ru,Li,0.0021357005698625473
Rh,Li,0.0060010177276073095
Pd,Li,0.00190896212569846
Ag,Li,0.0147275463327643
Cd,Li,0.0017754234380931583
In,Li,0.005280459917931798
Sn,Li,0.0025917764281456947
Sb,Li,0.006502810795401099
Te,Li,0.003454163200810709
I,Li,0.01893318390696522
Xe,Li,0.0021129450067195834
Cs,Li,0.020264459497986928
Ba,Li,0.0033355735478927963
La,Li,0.0024860325487657035
Ce,Li,0.0023362354928437253
Pr,Li,0.00195834377090305
Nd,Li,0.0021952882510512853
Pm,Li,0.0004553569227086045
Sm,Li,0.0021474110749234413
Eu,Li,0.0017759742818796477
Gd,Li,0.0018852770005694775
Tb,Li,0.001325569738129596
Dy,Li,0.0015367010350913544
Ho,Li,0.001508689432356004
Er,Li,0.0017083863376327847
Tm,Li,0.0011937408195279602
Yb,Li,0.0022858114795233134
Lu,Li,0.0014842267766575002
Hf,Li,0.001531930482630228
Ta,Li,0.0038974264901974133
W,Li,0.0016551968455988829
Re,Li,0.005604956743087668
Os,Li,0.0011106281854647046
Ir,Li,0.004511227736221072
Pt,Li,0.0019376910578221588
Au,Li,0.006258676354606024
Hg,Li,0.003138594586598558
Tl,Li,0.013754675333156382
Pb,Li,0.002450253574508384
Bi,Li,0.004354809591636902
Po,Li,0.000670229933121103
At,Li,0.0016342491060989074
Rn,Li,0.0004680896149545819
Fr,Li,0.00043048243731873666
Ra,Li,0.0004192891351609624
Ac,Li,0.00018123703115267845
Th,Li,0.0016734122993794119
Pa,Li,0.000283484029587006
U,Li,0.0016361724455854075
Np,Li,0.0011824280358876122
Pu,Li,0.001133125660678054
Am,Li,0.0009631198653063415
Cm,Li,0.0009176744737862163
Bk,Li,0.0006803169111984747
Cf,Li,0.0006435421913988798
Es,Li,0.0003426065170354705
Fm,Li,0.0002128715183613339
Md,Li,0.00032929876046577613
No,Li,0.00022109350314952493
Lr,Li,0.0002455043711895266
H,Be,0.0007337891140154371
He,Be,0.0022573450849970524
Li,Be,0.0017399419581537118
Be,Be,0.0
B,Be,0.0017361333158750097
C,Be,0.001121566428495774
N,Be,0.0007129269780780445
O,Be,0.001141883530689241
F,Be,0.0003601227837253948
Ne,Be,0.00187744441049049
Na,Be,0.0015154922512176613
Mg,Be,0.012269896584845813
Al,Be,0.003056910974467393
Si,Be,0.00243019027808011
P,Be,0.0012085168616436405
S,Be,0.0019545404018783403
Cl,Be,0.0006260575154247735
Ar,Be,0.0029604396729427736
K,Be,0.0013245717927105503
Ca,Be,0.010497034924997308
Sc,Be,0.0028311967266188365
Ti,Be,0.004137359833516302
V,Be,0.003850776358630854
Cr,Be,0.004427764680008075
Mn,Be,0.00771262801602905
Fe,Be,0.005389376736033985
Co,Be,0.006444283736911571
Ni,Be,0.007057483765912844
Cu,Be,0.006712921241215216
Zn,Be,0.010103391401907191
Ga,Be,0.002640296687249125
Ge,Be,0.004672911829729565
As,Be,0.0012445446917288177
Se,Be,0.003444293096157549
Br,Be,0.0006847066096964428
Kr,Be,0.0025837262701485586
Rb,Be,0.002016126837978207
Sr,Be,0.009586061133940204
Y,Be,0.0018590498144439604
Zr,Be,0.003146489204571302
Nb,Be,0.002295339766208039
Mo,Be,0.0026263262023053053
Tc,Be,0.001169403258726387
Ru,Be,0.0025875051686376437
Rh,Be,0.0016486281951816444
Pd,Be,0.0049301444630170934
Ag,Be,0.0028394415169242537
Cd,Be,0.009267726704105817
In,Be,0.0027105547620773682
Sn,Be,0.006149616128242846
Sb,Be,0.0014344787947948125
Te,Be,0.004306671277922798
I,Be,0.0008859784552944752
Xe,Be,0.0031333251735554332
Cs,Be,0.001911148898097791
Ba,Be,0.009434344286152406
La,Be,0.0017322306292348346
Ce,Be,0.0018015853274057387
Pr,Be,0.0015596966238493129
Nd,Be,0.0015246034676626298
Pm,Be,0.000981720069235892
Sm,Be,0.0019119619799886905
Eu,Be,0.002816405658609045
Gd,Be,0.0016680253573198899
Tb,Be,0.0013717644513436976
Dy,Be,0.0013615183666670365
Ho,Be,0.0013963339892738935
Er,Be,0.0013344820405285225
Tm,Be,0.0014612173548070916
Yb,Be,0.002504545550079332
Lu,Be,0.0011652285698811066
Hf,Be,0.002323030260859249
Ta,Be,0.0019348090714891705
W,Be,0.001973608387547572
Re,Be,0.001244778242006965
Os,Be,0.002394442523557444
Ir,Be,0.0009059402027848264
Pt,Be,0.004474373029998756
Au,Be,0.0021730009857832727
Hg,Be,0.006578645596573419
Tl,Be,0.0022586076807878373
Pb,Be,0.008695169290043556
Bi,Be,0.0015606742584264568
Po,Be,0.0019266298399762479
At,Be,0.00039148170627334905
Rn,Be,0.001121301033406618
Fr,Be,0.00077341023984649
Ra,Be,0.0037665010518159988
Ac,Be,0.0006512255255099947
Th,Be,0.0023528926094247855
Pa,Be,0.0010186220496294007
U,Be,0.0028998443974578058
Np,Be,0.001976153764714154
Pu,Be,0.0022296725940643895
Am,Be,0.0017303534394272387
Cm,Be,0.002355293813055129
Bk,Be,0.001777841517831111
Cf,Be,0.001156196112671192
Es,Be,0.0012310624803361324
Fm,Be,0.0007648953722607999
Md,Be,0.001774867064723591
No,Be,0.0007944388178269227
Lr,Be,0.0008821525718340342
H,B,0.02089827546693059
He,B,0.0007352495164728773
Li,B,0.016158897765725787
Be,B,0.0017361333158750097
B,B,0.0
C,B,0.011349693706188185
N,B,0.024207276663159957
O,B,0.0075201979936555564
F,B,0.019607311113097263
Ne,B,0.0008866901436908482
Na,B,0.016646175723100284
Mg,B,0.002360038602299514
Al,B,0.01732049495472716
Si,B,0.006731097692928609
P,B,0.03594451793460978
S,B,0.007075932400627727
Cl,B,0.025237232189770652
Ar,B,0.0013692455932475286
K,B,0.012418049350559832
Ca,B,0.0016467184713026412
Sc,B,0.003401556833313145
Ti,B,0.004187786099279567
V,B,0.008143488249277306
Cr,B,0.0051484495175851686
Mn,B,0.006901050412478669
Fe,B,0.007461652614722079
Co,B,0.007988463120669557
Ni,B,0.0035143387329895754
Cu,B,0.00569511746776883
Zn,B,0.002782175644925819
Ga,B,0.010646823366896777
Ge,B,0.004210360563464478
As,B,0.016701078015431654
Se,B,0.0037592943865893103
Br,B,0.028680206950528992
Kr,B,0.0010890731530780323
Rb,B,0.0017261336770144368
Sr,B,0.0013308236166588436
Y,B,0.003858699901207149
Zr,B,0.0028086867755842296
Nb,B,0.005518831275583421
Mo,B,0.003125023864702929
Tc,B,0.0020115823572605545
Ru,B,0.0029677640670587807
Rh,B,0.009022145523148596
Pd,B,0.0032116368531039056
Ag,B,0.007312635390875084
Cd,B,0.001654044317227648
In,B,0.007409286292035091
Sn,B,0.003935641915101271
Sb,B,0.010943570037465407
Te,B,0.00297596101973798
I,B,0.02872626475705497
Xe,B,0.001314963562948957
Cs,B,0.004692006892752357
Ba,B,0.0013796696588409846
La,B,0.0033908049477382744
Ce,B,0.0026780647102313524
Pr,B,0.0031780501666635657
Nd,B,0.004129213161612981
Pm,B,0.0008526939734230331
Sm,B,0.003325057846420203
Eu,B,0.0020437020316342916
Gd,B,0.00257790149052931
Tb,B,0.0018492690605142826
Dy,B,0.0020695078455657896
Ho,B,0.0020332499602571767
Er,B,0.002434095157512458
Tm,B,0.0017118463735340632
Yb,B,0.0028551818280760795
Lu,B,0.002576435521045396
Hf,B,0.0013076784176430077
Ta,B,0.0059643449002745146
W,B,0.002414965052088046
Re,B,0.00840512540724098
Os,B,0.0014493218029267747
Ir,B,0.008346482264537087
Pt,B,0.002541506153502561
Au,B,0.008459625585161064
Hg,B,0.002240156903380934
Tl,B,0.007082537923821092
Pb,B,0.0023699922646493793
Bi,B,0.008019635875545522
Po,B,0.000549089485351451
At,B,0.0005738003095819295
Rn,B,0.0003652237525011955
Fr,B,0.0001259553775498721
Ra,B,0.0001840204735785388
Ac,B,0.0002121134495245525
Th,B,0.00136243681611445
Pa,B,0.0005806145481537265
U,B,0.002322485864867096
Np,B,0.0012390483675070298
Pu,B,0.0013735336659035258
Am,B,0.0012882304343115086
Cm,B,0.0009461551389471666
Bk,B,0.0006514519050136688
Cf,B,0.0006778612402643629
Es,B,0.00033414551878917535
Fm,B,0.0001245686705911491
Md,B,0.0001926998460588137
No,B,0.00012938003155935104
Lr,B,0.000143664842430843
H,C,0.175166515587951
He,C,0.0002847942242851544
Li,C,0.004724218837849257
Be,C,0.001121566428495774
B,C,0.011349693706188185
C,C,0.0
N,C,0.09706905697029061
O,C,0.24767846446610006
F,C,0.04553029534646074
Ne,C,0.0003014641400518484
Na,C,0.005732681188470033
Mg,C,0.004548189670126617
Al,C,0.003333074134382227
Si,C,0.05325935215586273
P,C,0.013456931263760913
S,C,0.09864291352501207
Cl,C,0.03253166041623449
Ar,C,0.0007503934350389699
K,C,0.003992973996142316
Ca,C,0.0020258242183371603
Sc,C,0.000597364390395993
Ti,C,0.007543678210623594
V,C,0.0046866011424556335
Cr,C,0.006127500535377842
Mn,C,0.005166297495537107
Fe,C,0.0138471157060325
Co,C,0.0076634598088129125
Ni,C,0.010386936814465925
Cu,C,0.011795028204383388
Zn,C,0.009458507871590787
Ga,C,0.0018180227383111829
Ge,C,0.007703160264821199
As,C,0.003480757706366557
Se,C,0.015481564115366062
Br,C,0.01642785218907903
Kr,C,0.00034863269399503205
Rb,C,0.000630948213050665
Sr,C,0.0009642833721356551
Y,C,0.0007347789757759398
Zr,C,0.006393762576837211
Nb,C,0.0014335790796022516
Mo,C,0.008237519612548865
Tc,C,0.0011023274099965978
Ru,C,0.009714184007895777
Rh,C,0.003382568702320872
Pd,C,0.010433925248419311
Ag,C,0.0034474383275379023
Cd,C,0.004845169325362509
In,C,0.0013571293286794453
Sn,C,0.014370127555116855
Sb,C,0.001955117885856088
Te,C,0.006164074025310227
I,C,0.009894751787422289
Xe,C,0.0006047149616543624
Cs,C,0.0011617453172138373
Ba,C,0.0016410357769463225
La,C,0.0007479581568598612
Ce,C,0.000789154373598593
Pr,C,0.0006032262268243672
Nd,C,0.0006899478053473597
Pm,C,0.00012667202940448762
Sm,C,0.0008428978026507563
Eu,C,0.0008269841459992593
Gd,C,0.0006539761593847887
Tb,C,0.0004818325975744029
Dy,C,0.000443531895816794
Ho,C,0.00038389153691294355
Er,C,0.00048322289593008853
Tm,C,0.0003068029494025138
Yb,C,0.0010486964930488155
Lu,C,0.00045233582498819944
Hf,C,0.002709264262183791
Ta,C,0.001179562150932494
W,C,0.007420203894628608
Re,C,0.0028755048700687077
Os,C,0.0037292205781802256
Ir,C,0.002038224903457275
Pt,C,0.010222991780198788
Au,C,0.0022420817276270102
Hg,C,0.007721692801707702
Tl,C,0.0015415934508485926
Pb,C,0.0037669354191545573
Bi,C,0.001169387546338707
Po,C,0.0001588242001050234
At,C,0.00011225146502748694
Rn,C,4.822741971837191e-05
Fr,C,6.6529110631859e-05
Ra,C,8.639898198434906e-05
Ac,C,3.7345816231193063e-05
Th,C,0.0018459348990607337
Pa,C,0.0001898484146414654
U,C,0.004094786611631603
Np,C,0.0004788042407798003
Pu,C,0.00038637463277557444
Am,C,0.00021618082265019718
Cm,C,0.00018909657722877761
Bk,C,0.00011469806927676686
Cf,C,0.00010608696584421689
Es,C,5.883142802659834e-05
Fm,C,2.193221924629813e-05
Md,C,5.0891631729311716e-05
No,C,2.277933291562539e-05
Lr,C,2.5294392299647786e-05
H,N,0.2051853963251283
He,N,0.00027693660539365803
Li,N,0.009804123341649982
Be,N,0.0007129269780780445
B,N,0.024207276663159957
C,N,0.09706905697029061
N,N,0.0
O,N,0.0863621955736159
F,N,0.10111145859429055
Ne,N,0.00033909615426773535
Na,N,0.01699309826966576
Mg,N,0.002061577321886448
Al,N,0.006189795194337991
Si,N,0.014973275912140918
P,N,0.04716865923583326
S,N,0.03615351852273437
Cl,N,0.08809552079471474
Ar,N,0.0007667428165937448
K,N,0.009775681026588582
Ca,N,0.0010147645110740028
Sc,N,0.0012925056036745173
Ti,N,0.0031946930843333365
V,N,0.005067144739230124
Cr,N,0.004762813498428472
Mn,N,0.005480022389269133
Fe,N,0.008246967143720889
Co,N,0.007392604920678239
Ni,N,0.003403280724571172
Cu,N,0.006644356049927331
Zn,N,0.0033637889375099095
Ga,N,0.0031922908832119627
Ge,N,0.0034713660489625302
As,N,0.008283095109371594
Se,N,0.007381720886762133
Br,N,0.05280542929827061
Kr,N,0.0004039913722401932
Rb,N,0.0008028844052731089
Sr,N,0.0005623148676204882
Y,N,0.001729179166165713
Zr,N,0.0023913754201922415
Nb,N,0.0034332186662502043
Mo,N,0.004167850456484479
Tc,N,0.0019352863966247227
Ru,N,0.004520450663617953
Rh,N,0.007985078162079442
Pd,N,0.0036955271441638845
Ag,N,0.006503095375403817
Cd,N,0.0015759042500016398
In,N,0.00250113656335201
Sn,N,0.004968736993222514
Sb,N,0.005502258330551369
Te,N,0.0032899755159765016
I,N,0.031858469121118525
Xe,N,0.0004681843358307898
Cs,N,0.0018268685442114233
Ba,N,0.0007545593226171529
La,N,0.0017883146288911723
Ce,N,0.0012762373487706998
Pr,N,0.001421508382020466
Nd,N,0.0016061221665862946
Pm,N,0.00019515710691590688
Sm,N,0.001711527200981201
Eu,N,0.0016984595033261937
Gd,N,0.0016612289637049002
Tb,N,0.0012297219650687658
Dy,N,0.0010813415039866638
Ho,N,0.0008551287557897783
Er,N,0.0011018448582346741
Tm,N,0.0006553800225127759
Yb,N,0.0015965666058821376
Lu,N,0.0010904754589305863
Hf,N,0.0010102178657390244
Ta,N,0.003783430627022214
W,N,0.0031465615688464027
Re,N,0.007227735894007869
Os,N,0.00169045729120971
Ir,N,0.00650980168237084
Pt,N,0.003090503669938075
Au,N,0.005997078534955276
Hg,N,0.0033250009795115073
Tl,N,0.0028071361488720727
Pb,N,0.0017803873049413253
Bi,N,0.003154732140119706
Po,N,0.0001313131399062308
At,N,0.0002801629329617244
Rn,N,5.731831165290409e-05
Fr,N,2.635662671744088e-05
Ra,N,0.00010268523186170046
Ac,N,6.657828097081963e-05
Th,N,0.000637008967237211
Pa,N,0.00019960013267732448
U,N,0.0017246507859475218
Np,N,0.0004276361071094144
Pu,N,0.0003402752741000649
Am,N,0.0002527190284344299
Cm,N,0.00022474137346327057
Bk,N,0.0001590384959230074
Cf,N,0.00015760551274769433
Es,N,6.992118065419482e-05
Fm,N,2.6066453178299456e-05
Md,N,6.0484728916033854e-05
No,N,2.7073248183868415e-05
Lr,N,3.00623974777926e-05
H,O,0.12330111437177671
He,O,0.00030661051501673506
Li,O,0.005090243161574002
Be,O,0.001141883530689241
B,O,0.0075201979936555564
C,O,0.24767846446610006
N,O,0.0863621955736159
O,O,0.0
F,O,0.04048484819257323
Ne,O,0.00039140976443553365
Na,O,0.005778366567116095
Mg,O,0.004986720755323065
Al,O,0.003095841528807572
Si,O,0.047100923653517195
P,O,0.011428006580956319
S,O,0.10367775662844095
Cl,O,0.03375911106313075
Ar,O,0.0008827725968628503
K,O,0.0041519653040459036
Ca,O,0.002440152213608759
Sc,O,0.0006192711893143351
Ti,O,0.007823230927775045
V,O,0.004634670526859868
Cr,O,0.00625702287634709
Mn,O,0.005140782960146082
Fe,O,0.014197747801367634
Co,O,0.007477630687352766
Ni,O,0.01054312913038844
Cu,O,0.01175711969715225
Zn,O,0.009626652818857924
Ga,O,0.0017208881346714524
Ge,O,0.006313929672517154
As,O,0.0031410721305260543
Se,O,0.018121659473730366
Br,O,0.017776845668484403
Kr,O,0.00044167827738140336
Rb,O,0.0008078921904493554
Sr,O,0.0012294151249835285
Y,O,0.0008209770452463943
Zr,O,0.006812031269037734
Nb,O,0.0014883287347297466
Mo,O,0.008388686786869918
Tc,O,0.0009811917332694653
Ru,O,0.009871630565980257
Rh,O,0.0033163757532899134
Pd,O,0.010811246458070882
Ag,O,0.003439071504515063
Cd,O,0.004921574147171751
In,O,0.0012421588999194958
Sn,O,0.013232194412725032
Sb,O,0.001834639015252323
Te,O,0.006993709914305644
I,O,0.010397656102857977
Xe,O,0.0006585653190862734
Cs,O,0.0013643430939762685
Ba,O,0.001978124306573
La,O,0.0008153982275863467
Ce,O,0.0008584674774880648
Pr,O,0.0006679760090095418
Nd,O,0.0007632155904647704
Pm,O,0.00010336822243609166
Sm,O,0.0009458264430802198
Eu,O,0.0009110396359912963
Gd,O,0.0006881881273113793
Tb,O,0.0005584903292383867
Dy,O,0.0004910022234643349
Ho,O,0.00042939701374495687
Er,O,0.0005491995404271924
Tm,O,0.00034394241878779553
Yb,O,0.001215785461518256
Lu,O,0.0005223778769714225
Hf,O,0.0029128521549012065
Ta,O,0.0011466626734575314
W,O,0.007605739494866585
Re,O,0.0026041885258518602
Os,O,0.0034552767288935945
Ir,O,0.002052229108344939
Pt,O,0.009829402303820919
Au,O,0.0022596894570579428
Hg,O,0.008078327969698242
Tl,O,0.0016059541650221504
Pb,O,0.0036958710863531628
Bi,O,0.0011221874604184984
Po,O,0.0001369308909553378
At,O,0.00018549122313807275
Rn,O,5.3129302559887726e-05
Fr,O,4.88607970105131e-05
Ra,O,0.00010707824286905886
Ac,O,2.0570841043121067e-05
Th,O,0.0018539438426177053
Pa,O,0.0001769686735980475
U,O,0.00404922056109356
Np,O,0.00037141405411934153
Pu,O,0.0003613398837204975
Am,O,0.00021472870639498265
Cm,O,0.0001983967058631927
Bk,O,9.827696274714938e-05
Cf,O,9.495667221812278e-05
Es,O,5.184889024389912e-05
Fm,O,2.4161431794421183e-05
Md,O,5.606430772581797e-05
No,O,2.5094646938484954e-05
Lr,O,2.7865339456353744e-05
H,F,0.14104444482844103
He,F,0.00033435189014751406
Li,F,0.009100441945194954
Be,F,0.0003601227837253948
B,F,0.019607311113097263
C,F,0.04553029534646074
N,F,0.10111145859429055
O,F,0.04048484819257323
F,F,0.0
Ne,F,0.0005005476409608682
Na,F,0.01480123623072151
Mg,F,0.0008875989304589337
Al,F,0.003781053141896742
Si,F,0.0033533191789203937
P,F,0.024043809893563334
S,F,0.02111024227463795
Cl,F,0.08240327460994305
Ar,F,0.0008945244384942989
K,F,0.00938124822104858
Ca,F,0.0005986480409555617
Sc,F,0.0007806753403760857
Ti,F,0.0011403006303387162
V,F,0.0031835063141610115
Cr,F,0.00224368605182294
Mn,F,0.0036142151962609333
Fe,F,0.004048055352190602
Co,F,0.004221675860031005
Ni,F,0.0014819836311097238
Cu,F,0.0037167875775805095
Zn,F,0.0013878211114443863
Ga,F,0.0018452066714781197
Ge,F,0.0009719981716492642
As,F,0.0061163552972508025
Se,F,0.0033307525048462197
Br,F,0.05046809379830276
Kr,F,0.0005627861684464849
Rb,F,0.0009499064697129844
Sr,F,0.00033362868769922015
Y,F,0.0010456384766931877
Zr,F,0.0008031293764263288
Nb,F,0.0019657000029835356
Mo,F,0.0015676993415137625
Tc,F,0.0012882409657731981
Ru,F,0.002224185297214491
Rh,F,0.004894143692864476
Pd,F,0.0015663113567371404
Ag,F,0.005610354826142315
Cd,F,0.0007741085926796231
In,F,0.0016635687834791295
Sn,F,0.0010767409262266016
Sb,F,0.003451475722130654
Te,F,0.0014603605611294634
I,F,0.03160892619501994
Xe,F,0.0007199495466288975
Cs,F,0.0022410044072914055
Ba,F,0.00036598302516618425
La,F,0.0010766018897620856
Ce,F,0.0007134818024018289
Pr,F,0.0008990005676444207
Nd,F,0.001004736119278593
Pm,F,0.0001454097394883678
Sm,F,0.0009557820194395751
Eu,F,0.0007903128261372174
Gd,F,0.0008554781530262292
Tb,F,0.0006245967201808067
Dy,F,0.0006031260658256478
Ho,F,0.0004562233225560688
Er,F,0.0006776910687830645
Tm,F,0.0003444287658746504
Yb,F,0.0009492379597631159
Lu,F,0.000586365247401465
Hf,F,0.00035654770491712286
Ta,F,0.001905975946366894
W,F,0.0008967284460316439
Re,F,0.005105719644742817
Os,F,0.0006226225147293897
Ir,F,0.004027160322634561
Pt,F,0.0011595117958896907
Au,F,0.003857199950810609
Hg,F,0.0014412288550912668
Tl,F,0.002551679079428624
Pb,F,0.00064485067955058
Bi,F,0.002127104033529825
Po,F,0.0001426836182230202
At,F,0.00038656812471316374
Rn,F,5.5361365649646656e-05
Fr,F,7.63702980906746e-05
Ra,F,3.719226786331677e-05
Ac,F,6.430518364655477e-05
Th,F,0.00032914279208807453
Pa,F,0.00011315667127163116
U,F,0.0006158373926382747
